                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41053,                 2.6958,                 1.0252,                0.00333,                      1,                  0.995,                0.86964,                0.19221,                 3.0457,                0.90345,                      0,                      0,                      0
                      2,                0.46197,                 2.7214,                 1.0663,                0.00333,                      1,                  0.995,                0.89604,                 0.1795,                 3.0385,                0.89707,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                0.56134,                 2.5973,                 1.1761,                0.00333,                      1,                  0.995,                0.87132,                0.16603,                 3.0353,                0.90153,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.36676,                 2.6651,                0.97783,                0.00333,                      1,                  0.995,                0.87132,                0.17052,                 3.0355,                0.91076,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.35958,                 2.5698,                0.98032,                0.00333,                      1,                  0.995,                0.87136,                0.18907,                  3.039,                0.92385,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                0.48667,                 2.3907,                 1.1574,                0.00333,                      1,                  0.995,                0.89611,                0.20576,                 3.0346,                0.91502,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.41001,                 2.1841,                0.99964,                0.00333,                      1,                  0.995,                0.89611,                0.21529,                  2.994,                0.89983,             0.00010574,             0.00010574,             0.00010574
                      8,                0.42255,                 1.8447,                0.95741,                0.00333,                      1,                  0.995,                0.87136,                0.22422,                 2.9594,                0.87874,              0.0001206,              0.0001206,              0.0001206
                      9,                0.63413,                 1.7774,                 1.2175,                0.00333,                      1,                  0.995,                0.89611,                0.23833,                 2.9262,                0.85622,             0.00013466,             0.00013466,             0.00013466
                     10,                 0.2557,                 1.4132,                0.84846,                0.00333,                      1,                  0.995,                  0.995,                0.22861,                 2.8121,                0.82639,             0.00014792,             0.00014792,             0.00014792
                     11,                0.46329,                 1.3866,                  1.021,                      1,                0.99716,                  0.995,                  0.995,                0.24286,                 2.6928,                0.80643,              0.0001604,              0.0001604,              0.0001604
                     12,                0.46361,                 1.6307,                 1.0264,                      1,                0.83218,                  0.995,                0.96204,                0.27791,                 2.6132,                0.81459,             0.00017208,             0.00017208,             0.00017208
                     13,                 0.3741,                 1.4783,                0.94643,                0.86034,                0.66667,                 0.9125,                 0.9125,                0.27539,                 2.5793,                0.78072,             0.00018298,             0.00018298,             0.00018298
                     14,                0.46177,                 1.3727,                 1.0082,                      1,                0.87719,                  0.995,                  0.995,                0.25272,                 2.5568,                0.79412,             0.00019308,             0.00019308,             0.00019308
                     15,                0.29722,                 1.1248,                0.91191,                      1,                0.85949,                  0.995,                0.96204,                0.23566,                 2.5425,                 0.8115,             0.00020238,             0.00020238,             0.00020238
                     16,                0.43154,                 1.3387,                  1.026,                      1,                0.84273,                  0.995,                  0.995,                0.23496,                 2.5774,                0.81272,              0.0002109,              0.0002109,              0.0002109
                     17,                0.43015,                  1.262,                 0.9069,                      1,                0.83516,                  0.995,                  0.995,                0.21904,                  2.592,                0.79851,             0.00021862,             0.00021862,             0.00021862
                     18,                0.41533,                  1.073,                 1.0371,                      1,                0.83516,                  0.995,                  0.995,                0.21904,                  2.592,                0.79851,             0.00022556,             0.00022556,             0.00022556
                     19,                0.39538,                 1.1418,                0.98784,                      1,                0.84423,                  0.995,                  0.995,                0.21665,                  2.588,                0.79069,              0.0002317,              0.0002317,              0.0002317
                     20,                0.34356,                  0.966,                0.90191,                      1,                0.84423,                  0.995,                  0.995,                0.21665,                  2.588,                0.79069,             0.00023704,             0.00023704,             0.00023704
