                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2452,                 2.9777,                  1.704,                0.00741,                      1,                0.53942,                0.34254,                 0.7518,                 3.4579,                 1.5967,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                0.96418,                 2.6337,                 1.4853,                0.00899,                      1,                0.54668,                0.34862,                0.79128,                 3.3646,                 1.6176,             0.00017611,             0.00017611,             0.00017611
                      3,                0.93799,                  2.127,                 1.5071,                0.01235,                      1,                0.52096,                0.33619,                0.81757,                 3.3408,                 1.5852,             0.00026095,             0.00026095,             0.00026095
                      4,                0.84465,                  1.835,                 1.3561,                0.01151,                      1,                0.51101,                0.30677,                0.98887,                 3.4379,                 1.7535,             0.00033786,             0.00033786,             0.00033786
                      5,                0.87813,                 1.5943,                 1.3854,                0.00919,                0.97727,                0.50722,                0.31412,                0.90713,                  3.216,                  1.758,             0.00040685,             0.00040685,             0.00040685
                      6,                0.82947,                 1.6106,                 1.3673,                0.55064,                0.49242,                0.59402,                0.34065,                 1.0263,                 2.9972,                 1.9674,             0.00046793,             0.00046793,             0.00046793
                      7,                0.78714,                  1.484,                 1.2813,                0.50265,                0.47855,                0.53729,                0.29608,                 1.2035,                 2.9373,                  2.081,             0.00052108,             0.00052108,             0.00052108
                      8,                0.79749,                 1.4928,                 1.3207,                0.38288,                0.55303,                0.43593,                0.20373,                 1.5878,                 2.8874,                 2.4776,             0.00056631,             0.00056631,             0.00056631
                      9,                0.91953,                  1.526,                 1.3991,                0.45576,                0.61013,                0.50971,                0.26422,                 1.3712,                 2.7986,                 2.2792,             0.00060361,             0.00060361,             0.00060361
                     10,                 0.8498,                 1.3928,                 1.3241,                 0.5022,                0.75758,                0.69847,                0.34794,                 1.2733,                 2.9686,                 2.1805,               0.000633,               0.000633,               0.000633
                     11,                0.81186,                 1.3122,                 1.3185,                 0.7223,                0.62121,                0.78782,                0.45562,                 1.1358,                 2.7069,                 2.0004,             0.00065446,             0.00065446,             0.00065446
                     12,                0.79104,                 1.3804,                 1.3265,                0.66697,                0.87411,                0.75468,                0.46625,                 1.1236,                 2.2998,                 1.8716,             0.00066801,             0.00066801,             0.00066801
                     13,                 0.7726,                 1.3119,                 1.2478,                0.58047,                0.71248,                 0.7082,                0.44899,                 1.1924,                 2.7289,                 1.9688,             0.00067363,             0.00067363,             0.00067363
                     14,                0.74205,                 1.2912,                 1.2368,                0.65125,                0.66807,                0.58082,                0.33169,                 1.3404,                 2.7012,                 2.2883,             0.00067133,             0.00067133,             0.00067133
                     15,                0.74851,                 1.2279,                 1.2569,                0.64405,                0.68939,                0.57963,                0.34852,                 1.2284,                  2.518,                  2.106,             0.00066111,             0.00066111,             0.00066111
                     16,                0.79578,                 1.7734,                 1.3472,                0.66008,                0.50102,                0.48603,                0.28359,                 1.1448,                 3.0805,                 1.8678,             0.00064296,             0.00064296,             0.00064296
                     17,                0.73536,                 1.8394,                 1.3457,                0.64491,                0.57384,                0.53417,                0.34429,                 1.2739,                 2.9622,                 2.0723,             0.00061079,             0.00061079,             0.00061079
                     18,                0.71584,                  1.741,                  1.302,                0.51787,                0.47737,                0.62975,                0.42823,                 1.0388,                 2.6248,                 1.7248,             0.00054478,             0.00054478,             0.00054478
                     19,                0.66436,                 1.6138,                 1.2485,                0.57883,                0.40902,                0.55814,                0.40999,                  0.966,                 2.3168,                 1.6943,             0.00047876,             0.00047876,             0.00047876
                     20,                0.69312,                 1.6057,                 1.3145,                0.47886,                0.82576,                0.64674,                0.47528,                 1.0049,                  1.972,                 1.8438,             0.00041275,             0.00041275,             0.00041275
                     21,                0.65259,                 1.3831,                 1.2723,                 0.7047,                0.92499,                0.79719,                0.52836,                 1.0373,                 1.9746,                 1.9263,             0.00034674,             0.00034674,             0.00034674
                     22,                0.62994,                 1.3998,                 1.2271,                0.74564,                0.75098,                0.85205,                0.54642,                 1.1072,                 2.1038,                 1.9254,             0.00028072,             0.00028072,             0.00028072
                     23,                0.61911,                 1.3869,                 1.1825,                0.72632,                0.73485,                0.81864,                0.52262,                 1.0954,                 2.0601,                 1.8693,             0.00021471,             0.00021471,             0.00021471
                     24,                 0.5818,                 1.4093,                 1.1694,                0.75554,                 0.7197,                 0.7914,                0.58022,                0.97439,                  1.844,                 1.6815,              0.0001487,              0.0001487,              0.0001487
                     25,                0.60654,                 1.3477,                 1.2568,                0.75231,                0.80926,                0.83033,                0.61655,                 0.9433,                 1.7548,                 1.6192,             8.2683e-05,             8.2683e-05,             8.2683e-05
